analytics_id,q1,total_answers,accepted_answer_id,avg_answer_length,best_answer_score,response_time_avg,tags,bookmark_count,share_count,updated_at
165,165,11,26.0,666,31,51,"['deserunt', 'numquam', 'minima', 'magni', 'beatae']",24,13,2025-04-07 18:53:22.384740
34,34,8,,645,0,19,"['in', 'porro', 'dolorum', 'accusantium']",16,8,2025-05-31 13:30:28.765605
25,25,13,47.0,627,27,1,"['consequatur', 'alias', 'iusto', 'rerum', 'quas']",3,15,2025-04-17 18:11:11.547138
216,216,0,,177,5,63,"['accusantium', 'voluptate']",33,7,2025-04-17 05:04:23.063489
120,120,15,71.0,694,50,30,"['itaque', 'aliquid', 'excepturi', 'deserunt', 'asperiores']",41,18,2025-04-06 09:05:57.838391
8,8,5,15.0,89,16,14,"['nostrum', 'quisquam', 'iure']",32,5,2025-05-21 08:18:10.302535
91,91,3,,601,11,27,"['blanditiis', 'perferendis', 'delectus']",37,2,2025-05-12 17:54:59.410209
47,47,2,,659,23,16,['magnam'],2,14,2025-05-05 15:50:09.834723
74,74,15,82.0,443,47,66,"['quia', 'pariatur']",34,14,2025-04-24 15:37:10.966340
94,94,8,40.0,759,50,2,"['molestias', 'quisquam', 'doloremque', 'tempora']",25,11,2025-05-09 10:27:03.927069
77,77,9,7.0,146,7,27,"['ea', 'dolore']",6,14,2025-03-19 11:06:35.030709
287,287,3,55.0,100,6,46,"['cumque', 'ducimus', 'exercitationem']",11,2,2025-04-17 07:39:07.332352
61,61,12,63.0,107,12,70,['provident'],31,18,2025-04-16 18:57:26.236646
78,78,2,,346,48,57,"['quia', 'praesentium']",31,18,2025-04-07 22:43:56.564380
64,64,2,73.0,642,18,26,['molestias'],24,16,2025-03-24 04:55:54.305426
235,235,4,,255,50,32,"['aut', 'nisi', 'sunt']",30,17,2025-05-31 17:28:55.324474
230,230,9,,70,20,63,"['repellendus', 'quidem']",10,5,2025-04-02 18:00:26.369043
112,112,5,56.0,410,45,32,"['et', 'sint', 'nesciunt', 'assumenda']",49,3,2025-03-21 21:31:02.731367
232,232,3,1.0,427,38,53,['perspiciatis'],1,13,2025-05-07 03:35:07.571300
181,181,6,99.0,305,15,53,['minus'],32,17,2025-04-03 09:16:28.843167
145,145,4,11.0,748,5,2,"['culpa', 'nisi', 'commodi', 'optio']",35,17,2025-04-14 20:24:15.162469
240,240,3,88.0,353,30,72,"['cum', 'molestiae', 'cupiditate']",37,18,2025-05-25 14:34:13.903255
76,76,7,15.0,158,30,12,"['beatae', 'sequi']",10,8,2025-03-25 15:08:55.858436
298,298,2,8.0,402,34,57,"['nulla', 'distinctio', 'incidunt', 'atque']",32,7,2025-04-13 01:47:06.932558
279,279,11,,722,3,58,"['totam', 'enim']",21,0,2025-04-26 13:52:37.714794
98,98,3,42.0,690,46,12,"['est', 'sunt', 'inventore', 'pariatur']",8,6,2025-04-03 03:48:10.808714
93,93,7,,310,46,2,"['maiores', 'voluptatem', 'corrupti']",18,20,2025-05-19 08:35:24.109411
193,193,15,55.0,309,27,60,"['voluptate', 'quisquam', 'corrupti', 'dolorem']",21,13,2025-05-27 15:24:31.092125
26,26,12,,511,49,40,"['nesciunt', 'natus', 'eos', 'et']",37,20,2025-03-11 15:15:38.456163
233,233,4,,445,25,71,"['fuga', 'est', 'velit', 'ullam', 'aperiam']",19,2,2025-04-21 10:41:43.785784
60,60,7,78.0,794,39,29,['repellendus'],42,12,2025-03-15 15:35:17.239647
7,7,12,43.0,247,45,3,"['officia', 'quisquam', 'velit', 'eum', 'ducimus']",35,6,2025-04-02 01:04:37.098003
186,186,15,49.0,245,3,40,"['occaecati', 'assumenda', 'itaque', 'cumque', 'reprehenderit']",47,5,2025-05-18 07:45:23.187290
174,174,5,83.0,779,20,63,"['sit', 'eos', 'delectus', 'eius', 'debitis']",2,4,2025-03-28 16:34:49.206845
31,31,0,44.0,354,14,40,"['asperiores', 'veniam', 'eligendi', 'at', 'numquam']",30,16,2025-04-30 21:23:58.645478
23,23,13,50.0,675,14,12,"['harum', 'tenetur', 'nihil']",25,17,2025-04-30 00:05:29.659450
257,257,13,47.0,115,28,3,"['enim', 'libero', 'laboriosam']",43,17,2025-03-06 15:45:50.299143
57,57,10,22.0,453,37,64,['deserunt'],24,20,2025-05-15 15:06:20.096842
187,187,8,47.0,116,42,36,"['at', 'nam', 'atque']",11,10,2025-05-19 11:28:27.048854
109,109,15,98.0,121,48,68,"['sunt', 'ratione']",19,6,2025-05-31 14:35:17.331115
127,127,8,,800,48,68,"['iusto', 'vero', 'nostrum', 'a']",24,18,2025-03-26 01:12:45.309815
231,231,5,,190,18,48,"['praesentium', 'iure']",18,14,2025-05-25 10:56:48.943709
194,194,1,9.0,759,39,32,"['qui', 'itaque', 'quae', 'ipsa']",48,10,2025-03-30 22:56:34.500136
130,130,5,48.0,175,21,32,"['nisi', 'ad', 'odit', 'tempore', 'minus']",19,9,2025-05-04 14:05:21.700164
283,283,9,,681,20,29,"['illum', 'assumenda', 'perspiciatis']",36,18,2025-03-16 21:52:54.644924
83,83,6,,613,12,56,"['omnis', 'ratione', 'adipisci']",28,9,2025-04-16 20:27:12.002419
85,85,3,92.0,294,29,26,"['autem', 'recusandae', 'aut', 'expedita', 'porro']",37,7,2025-05-20 12:45:08.868450
67,67,0,4.0,421,18,68,['corporis'],12,19,2025-05-04 19:08:33.040331
289,289,8,,391,14,47,"['asperiores', 'accusantium', 'nam']",33,15,2025-03-06 20:05:06.154315
164,164,12,12.0,511,37,59,"['vero', 'minus', 'ad']",48,15,2025-03-22 01:15:32.719268
155,155,11,,232,48,15,"['blanditiis', 'nulla', 'vitae', 'assumenda', 'ullam']",1,7,2025-04-11 15:33:21.526817
20,20,14,11.0,88,14,21,['voluptates'],31,2,2025-03-04 10:43:19.162291
125,125,14,,678,30,69,"['ab', 'quia', 'inventore']",37,1,2025-03-07 14:55:07.684411
80,80,10,36.0,533,39,19,"['perspiciatis', 'quae', 'tempore', 'delectus', 'repudiandae']",26,18,2025-04-28 23:42:19.481568
115,115,0,29.0,524,38,20,"['vitae', 'temporibus', 'nulla', 'aliquid']",15,18,2025-04-11 17:04:50.202815
119,119,11,,275,34,17,"['cumque', 'adipisci']",9,14,2025-05-01 07:45:49.219697
73,73,1,,215,43,10,"['ratione', 'nemo', 'unde', 'itaque']",46,16,2025-04-04 08:03:55.848661
16,16,3,,395,32,48,['dolorem'],27,9,2025-04-28 22:02:32.887160
11,11,12,,710,35,17,"['mollitia', 'eius', 'id', 'ipsa']",34,6,2025-04-07 15:16:48.823628
195,195,15,18.0,344,49,40,"['nulla', 'odit', 'maiores', 'illum', 'harum']",19,0,2025-03-05 20:29:46.256725
102,102,1,,447,24,7,"['officia', 'unde', 'cum', 'quidem', 'in']",19,20,2025-05-21 19:13:17.762959
69,69,9,41.0,488,11,52,"['at', 'accusamus', 'quaerat']",41,4,2025-04-04 18:38:44.973886
225,225,13,,241,45,45,"['vel', 'quibusdam', 'sint', 'reprehenderit']",17,12,2025-05-27 23:53:26.704857
38,38,6,28.0,704,23,50,"['possimus', 'rerum', 'amet', 'a']",33,11,2025-05-05 08:59:28.650823
17,17,4,,191,47,45,"['neque', 'ad', 'officia']",38,10,2025-04-08 04:16:39.484118
180,180,7,15.0,279,43,49,"['eveniet', 'illum', 'repellendus', 'blanditiis']",33,14,2025-03-31 15:21:26.764662
148,148,1,48.0,721,37,47,['necessitatibus'],50,6,2025-04-09 18:07:38.960003
275,275,5,,106,37,19,"['dolore', 'laborum', 'quasi', 'itaque', 'veniam']",35,6,2025-04-03 23:57:26.110410
68,68,3,,560,2,25,"['occaecati', 'quod', 'minima', 'expedita']",30,17,2025-04-13 23:42:34.022628
229,229,2,12.0,449,22,12,"['a', 'distinctio', 'deleniti', 'dolorem', 'earum']",26,9,2025-05-24 21:15:46.963449
70,70,6,13.0,54,42,1,"['tempore', 'officia', 'et']",20,13,2025-03-23 10:57:14.147149
32,32,2,36.0,323,12,22,"['reiciendis', 'atque', 'consectetur', 'assumenda', 'dolores']",16,12,2025-05-28 05:32:31.394629
184,184,11,29.0,203,46,32,"['quasi', 'sint', 'beatae', 'adipisci']",15,7,2025-05-02 05:55:50.732619
266,266,7,,687,28,43,"['quia', 'aut']",49,20,2025-03-30 03:52:45.146620
226,226,10,8.0,726,18,33,"['iure', 'exercitationem', 'earum', 'iusto', 'repellat']",47,17,2025-05-09 03:33:26.718216
141,141,11,2.0,717,21,58,"['ad', 'adipisci', 'sequi', 'voluptates', 'aut']",16,20,2025-03-04 16:20:43.787998
19,19,5,,469,44,12,"['nihil', 'iste', 'dolorem', 'neque']",28,6,2025-05-02 12:17:09.263188
182,182,0,69.0,569,34,9,"['corrupti', 'sunt', 'adipisci']",35,2,2025-03-12 04:29:47.071538
97,97,15,,230,35,13,"['reprehenderit', 'earum', 'explicabo']",4,3,2025-05-16 10:34:33.689273
133,133,1,6.0,77,12,29,['fugiat'],40,20,2025-04-01 19:38:51.394992
263,263,15,,787,24,38,"['rem', 'ad', 'quod', 'magni', 'assumenda']",12,2,2025-05-18 15:12:02.231082
87,87,9,89.0,765,18,23,['voluptates'],37,5,2025-04-18 01:14:51.519759
249,249,4,,279,27,1,"['totam', 'sit', 'exercitationem', 'laboriosam']",36,10,2025-05-17 09:35:11.478903
246,246,4,54.0,456,49,71,"['dicta', 'veniam', 'laudantium']",26,18,2025-05-03 11:43:15.278977
117,117,15,41.0,306,24,39,"['maxime', 'porro', 'consequatur', 'odit', 'modi']",47,20,2025-03-26 14:00:29.512273
147,147,2,,500,39,13,"['laudantium', 'animi', 'commodi', 'ab', 'nulla']",26,8,2025-05-25 03:45:07.135343
293,293,6,,209,5,38,"['maiores', 'similique', 'reiciendis', 'doloremque']",16,19,2025-04-06 10:32:28.503906
198,198,5,67.0,488,34,44,['autem'],26,10,2025-03-17 22:10:28.587157
207,207,15,,727,2,69,"['dolore', 'nulla', 'facilis']",15,10,2025-03-07 10:56:06.381739
