detail_id,contact_id,job,notes,favorite
26,26,건축가 및 건축공학 기술자,Dignissimos quis enim dolores. Sed natus modi perferendis quia.,False
27,27,자연과학 시험원,Alias quaerat est exercitationem ipsa. Dolores temporibus accusamus veniam fuga.,False
28,28,여행 사무원,Officia numquam ex sapiente magni. Voluptatem nam libero eius accusamus.,True
29,29,기타 비금속제품관련 생산기 조작원,Sit cum quis totam optio quo. Repellat eum inventore debitis quaerat nemo voluptas eligendi.,True
30,30,기타 전기/전자기기 설치 및 수리원,Labore excepturi praesentium. Voluptates quidem ducimus ratione. Possimus impedit veritatis quas.,False
31,31,자동차 영업원,Blanditiis voluptatem hic impedit earum quisquam ad. Nulla recusandae impedit non.,False
32,32,자동차 정비원,Nam dicta vitae nihil. In asperiores cumque cum consectetur. Inventore iusto tempora.,True
33,33,재단사,Voluptatem voluptas quo. Expedita perspiciatis facilis sapiente.,False
34,34,기타 공학관련 기술자 및 시험원,Voluptatum assumenda delectus.,False
35,35,식품 및 담배 등급원,Reprehenderit aut deserunt ipsam. Cum sed aperiam et hic.,False
36,36,가스/에너지 기술자 및 연구원,Iusto sequi vitae fuga laborum. Facere quae incidunt vitae cumque ex.,False
37,37,간호사,Quo blanditiis modi nisi sunt dolor assumenda.,True
38,38,보건위생 및 환경 검사원,Officiis cupiditate quam amet accusantium exercitationem hic. Rem iusto totam quod.,False
39,39,배관 세정원 및 방역원,Excepturi tenetur ratione sint sint quam. Alias quia officiis facilis.,True
40,40,변리사,Rem ducimus maxime qui. Excepturi eos mollitia. Aliquam aperiam unde.,False
41,41,과실 및 채소 관련 기계조작원,Corrupti consequatur sint repudiandae quod neque. Rerum assumenda officiis esse alias omnis.,False
42,42,신용 추심원,Consequatur iusto laboriosam consectetur pariatur. Tempore minus ipsam perferendis saepe.,False
43,43,위생사,Perferendis debitis excepturi qui totam impedit ipsam quam. Tempore delectus commodi autem.,False
44,44,물리 및 작업 치료사,Exercitationem ratione ut. Ut labore ullam.,True
45,45,건설자재 시험원,Soluta porro reiciendis maxime. Aspernatur soluta aut veniam sapiente facere est.,False
46,46,주유원,Nam cumque aut distinctio nobis illo porro. Sit eligendi quasi. Officiis molestiae tempora cumque.,True
47,47,자동조립라인 및 산업용 로봇 조작원,Voluptatum sunt id temporibus. Quam debitis illo soluta atque officia ab.,False
48,48,물리 및 작업 치료사,Molestias ullam quae unde. Illum libero ab consectetur sint odit.,False
49,49,경호원,Molestias non illo. Atque quas ea dolorem illo magni.,False
50,50,판금기 조작원,Nesciunt consectetur modi hic quia.,False
51,51,노점 및 이동 판매원,Et aliquam similique quod molestiae.,False
52,52,임산물채취 및 기타 임업 관련 종사원,Libero unde minima deserunt unde. Praesentium nobis maiores consequuntur non quis.,False
53,53,성직자,Illum facilis inventore neque accusamus iusto fugiat.,True
54,54,건설 및 광업 단순 종사원,Suscipit tenetur error quas facilis quod illum atque. Ipsum nobis ullam repudiandae cum.,False
55,55,사회과학 연구원,Error in porro quia est mollitia. Commodi hic doloribus odit magnam.,False
56,56,배관 세정원 및 방역원,Quasi animi reiciendis fugit perferendis. Quis ipsa est similique voluptatum omnis.,True
57,57,통신공학 기술자 및 연구원,"Magni consequatur ullam nemo.
Illo hic quos illo dignissimos minus molestias.",False
58,58,기타 채굴 및 토목 관련 종사자,Voluptate aut non error voluptatibus. Sit quasi doloribus ipsum repellat.,False
59,59,의회의원/고위공무원 및 공공단체임원,Quam pariatur consectetur placeat.,False
60,60,산업전공,Veniam sapiente autem. Iste ratione itaque. Totam consequuntur commodi amet fugit.,False
61,61,시스템 소프트웨어 개발자,Consequatur rem dicta. Cumque vel nulla mollitia facilis atque illo.,True
62,62,통신 및 관련 장비 설치 및 수리원,Culpa sit assumenda. Veniam quia ratione assumenda. Veritatis nisi quas dolor.,True
63,63,인쇄기 조작원,Aut magnam voluptatum omnis. Nemo aspernatur molestias cupiditate.,True
64,64,택배원,Cumque impedit eum impedit rerum sequi nam. Nemo magnam tenetur doloremque error.,True
65,65,광석 및 석제품 가공기 조작원,Itaque quisquam delectus tenetur.,False
66,66,생명과학 시험원,Distinctio esse tempore ipsam maxime debitis. Soluta reprehenderit ab dolore similique.,False
67,67,연예인 및 스포츠 매니저,In maiores unde reiciendis. Debitis ducimus ullam voluptatibus.,False
68,68,양식원,Et exercitationem expedita est quia. Ullam perspiciatis mollitia in fugit perferendis beatae.,False
69,69,펄프 및 종이 제조장치 조작원,Itaque earum inventore fuga numquam enim molestias. Est sunt recusandae accusantium repudiandae.,True
70,70,만화가 및 만화영화 작가,Nostrum amet est illo minima. Pariatur recusandae pariatur autem officiis.,False
71,71,공예원,Quis optio ipsam sint vel. Labore ut dolor itaque ad dolor.,False
72,72,기타 채굴 및 토목 관련 종사자,Minima esse eveniet modi. Esse ab vero debitis veniam dolorem. Est ratione facilis excepturi.,True
73,73,영양사,Molestias dolore ut vero sint mollitia.,False
74,74,생명과학 연구원,Repudiandae molestias sapiente deleniti. Atque facilis voluptates quasi unde nisi reprehenderit.,False
75,75,여행 및 관광통역 안내원,Distinctio quasi vel magnam. Veritatis consequuntur animi aspernatur placeat tempore maiores.,False
76,76,정보 시스템 운영자,Repudiandae in facilis dolores. Vero quam natus cum. Est quam ab.,False
77,77,아나운서 및 리포터,Quis magni dignissimos officiis reiciendis. Temporibus facere sequi aspernatur.,False
78,78,기타 식품가공관련 기계조작원,Necessitatibus minima inventore aspernatur labore aliquam. Voluptas voluptates minus iste.,False
79,79,플라스틱제품 생산기 조작원,Maxime vitae eligendi voluptatem eius eius. Recusandae illum nemo dignissimos sint cupiditate.,False
80,80,시민 단체 활동가,Amet voluptatem veritatis nam ipsa tempore. Quidem laboriosam dolorum eius maxime.,False
81,81,판사 및 검사,Repudiandae error animi vitae. Ipsam velit quos nihil. Sed quis nesciunt adipisci aliquid.,False
82,82,인터넷 판매원,Accusantium culpa sed vero qui quibusdam suscipit. Laborum dignissimos eaque quidem aut esse magni.,False
83,83,치과기공사,Iusto esse placeat quam occaecati. Dolore ea animi repellendus molestias.,False
84,84,예능 강사,Esse consequuntur blanditiis amet ratione totam.,False
85,85,기타 석유 및 화학물 가공장치 조작원,Repellat corrupti culpa eius. Labore adipisci corporis animi aspernatur suscipit.,False
86,86,냉동/냉장 /공조기 설치 및 정비원,Ratione dicta mollitia hic est voluptate. Corporis sunt voluptas labore veritatis at.,False
87,87,판금원,Et quos tenetur dolorum distinctio. Eaque eos excepturi quidem.,False
88,88,제관기 조작원,Ipsa atque eius. Nemo recusandae libero odit tenetur officiis.,False
89,89,통신 및 관련 장비 설치 및 수리원,Veritatis molestias iste aliquam. Accusamus cumque explicabo reprehenderit ea fuga illum minus.,False
90,90,건설 및 광업 단순 종사원,Nesciunt repellat esse veritatis voluptatibus. Fugit fugiat consequatur occaecati.,False
91,91,컴퓨터 강사,Placeat eligendi vero eveniet. Sunt alias amet debitis commodi quia.,False
92,92,농림어업관련 시험원,Voluptas est ipsam a quia. Consequatur dicta ut vitae earum. Odit enim voluptatibus quia delectus.,False
93,93,건축 도장공,Perferendis eum unde esse alias aliquam quidem.,False
94,94,보험 설계사 및 간접투자증권 판매인,Atque repudiandae dolore quo. Soluta rerum recusandae quis itaque. Perferendis officia ad quis.,False
95,95,기타 여가 및 스포츠 관련 종사원,Error error ea dolorem delectus. Dignissimos autem ea. Temporibus eligendi excepturi eos.,False
96,96,대학 시간강사,Sint maiores libero deserunt ipsam corporis ullam ratione.,True
97,97,기타 자동차 운전원,Reiciendis pariatur doloremque rerum vero. Odit occaecati quae quisquam error.,False
98,98,간호사,Placeat eius quos officia dolor officia. Maiores porro praesentium velit.,False
99,99,피부미용 및 체형관리사,Dolor voluptate eaque aperiam. Libero neque unde incidunt natus eligendi amet facere.,False
100,100,양장 및 양복 제조원,Expedita officiis iusto nemo. Libero voluptates ipsum commodi.,False
101,101,곡식작물 재배원,Adipisci quidem ut voluptates. Aspernatur impedit voluptate fuga.,False
102,102,운송장비 조립원,Sit maxime maxime aliquid. Similique molestiae consequuntur error architecto quas modi laudantium.,True
103,103,조림/영림 및 벌목원,Suscipit corrupti molestias eaque expedita atque. Nesciunt ullam explicabo est.,False
104,104,상품중개인 및 경매사,Eos iusto saepe et corrupti temporibus voluptatum. Recusandae cum eaque ipsa atque recusandae.,False
105,105,통신 및 관련 장비 설치 및 수리원,Officia amet ducimus assumenda ab temporibus.,False
106,106,지휘자/작곡가 및 연주가,Expedita a atque fuga laborum. Deleniti praesentium quibusdam minus.,False
107,107,영상/녹화 및 편집 기사,Nam nisi id quasi aliquam itaque amet. Aliquam voluptatem numquam fuga et tempore enim occaecati.,False
108,108,제품 디자이너,Suscipit et cumque aut qui facilis.,False
109,109,숙박/여행/오락 및 스포츠 관련 관리자,Expedita doloribus maiores consequuntur rem.,False
110,110,육류/어패류 및 낙농품 가공 기계조작원,Perspiciatis quidem quam odit doloremque. Quod cum molestiae eius soluta numquam.,False
111,111,보육 교사,Saepe quisquam iure alias voluptas ducimus. Iste quae magnam repudiandae.,False
112,112,농림어업관련 단순 종사원,Odit dolor vitae fugiat.,False
113,113,화학제품 생산기 조작원,"Odit provident voluptatibus expedita culpa ipsa ad. Quas vero maiores.
Debitis placeat odio optio.",False
114,114,애완동물 미용사,Eos ut vero fugiat officia. Dignissimos a ad nihil corporis. Reiciendis illo tempora corporis.,False
115,115,변호사,Voluptate esse quaerat rem consectetur harum. Doloremque aliquid consequatur optio eos.,False
116,116,미장공,Exercitationem minima doloremque. Numquam perspiciatis sit.,False
117,117,재봉사,Quos harum maxime enim. Nulla nulla delectus fugit.,True
118,118,직조기 및 편직기 조작원,Et maiores rem fugit eligendi quia. Excepturi ratione ipsam rerum nostrum sint temporibus.,False
119,119,상품기획 전문가,Unde veniam ut minus voluptatibus perspiciatis enim.,True
120,120,건축 목공,Nemo quas aperiam reiciendis quis et. Iste esse veritatis vitae ullam totam labore.,False
